CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
33.479.023/0001-80;BANCO CITIBANK S.A;CITIBANK - BANCO;2008-08-19;2014-05-20;CANCELAMENTO A PEDIDO;CANCELADA;2014-05-20;PRIVADO;SEDE;AV. PAULISTA, Nº 1.111;2º ANDAR PARTE;BELA VISTA;SÃO PAULO;SP;1311920;11;40093000;atendimento.fundos@citi.com;https://www.citigold.com.br/citigold/invest/
38.486.817/0001-94;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S/A;BDMG;1997-01-22;1998-06-09;CANCELAMENTO A PEDIDO;CANCELADA;1998-06-09;PRIVADO;SEDE;R DA BAHIA;1600;LOURDES;BELO HORIZONTE;MG;30160907;31;32198551;mesa@bdmg.mg.gov.br;
33.923.798/0001-00;BANCO MÁXIMA S/A;STOCK;2006-08-24;2014-09-10;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-10;PRIVADO;SEDE;AV. ATLÂNTICA, Nº 1130;9º ANDAR (PARTE);COPACABANA;RIO DE JANEIRO;RJ;22021000;21;22241577;juridico@bancomaxima.com.br;
48.103.014/0001-67;BANCO SUDAMERIS DE INVESTIMENTO SA;BANCO SUDAMERIS DE INVEST S.A.;1996-09-25;2006-03-22;CANCELAMENTO A PEDIDO;CANCELADA;2006-03-22;PRIVADO;SEDE;AV PAULISTA 1374;8 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;1310916;11;31746663;paulo.cesar.werneck@br.abnamro.com;
30.666.677/0001-24;BANKRIO BRASIL CONSULTORIA DE INVESTIMENTOS LTDA;BANKRIO INVESTIMENTOS;2020-04-01;2021-09-21;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-21;PRIVADO;SEDE;AVENIDA ALMIRANTE BARROSO, 81;30º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040001;21;35128607;juridico@bankrio.com.br;www.bankriobrasil.com.br
07.588.414/0001-22;BARHUM CONSULTORIA EMPRESARIAL LTDA;;2013-04-18;;;EM FUNCIONAMENTO NORMAL;2013-04-18;PRIVADO;SEDE;RUA JOAQUIM FLORIANO 466;SL 1713 BL OFFICE;ITAIM BIBI;SÃO PAULO;SP;4534002;11;35867403;rbarhum@barhum.com.br;
02.729.352/0001-08;BARRA CONSULT LTDA;BARRA CONSULT LTDA;2001-05-18;2011-07-25;CANCELAMENTO A PEDIDO;CANCELADA;2011-07-25;PRIVADO;SEDE;R. IGUATEMI, 192, ED. IGUATEMI;20º AND, CONJ 204;ITAIM BIBI;SÃO PAULO;SP;1451010;11;37061345;ester.godinho@msci.com;
19.070.094/0001-01;BASIS POINT CONSULTORIA DE INVESTIMENTOS LTDA.;BASIS POINT CONSULTORIA DE INVESTIMENTOS LTDA.;2016-08-04;;;EM FUNCIONAMENTO NORMAL;2016-08-04;PRIVADO;SEDE;RUA FRANCISCO TRAMONTANO;101 CJ705;REAL PARQUE;SÃO PAULO;SP;5686010;11;37585223;alexandre@basispoint.com.br;www.basispoint.com.br
05.827.443/0001-74;BENCHMARK CONSULTORIA FINANCEIRA LTDA;BENCHMARK CONSULTORIA FINANCEIRA LTDA;2003-10-13;;;EM FUNCIONAMENTO NORMAL;2003-10-13;PRIVADO;SEDE;ALAMEDA JAU 1325;APTO 151;JD PAULISTA;SÃO PAULO;SP;1420001;11;35257228;fv@benchmarkinvest.com.br;
02.620.141/0001-32;BES PARTICIPAÇÕES LTDA;BES REFRAN CONSULTORIA FINANCEIRA LTDA;2007-06-27;2011-03-18;CANCELAMENTO A PEDIDO;CANCELADA;2011-03-18;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 2391;4 ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1452000;11;38128022;refran@refranconsultoria.com.br;
38.269.371/0001-46;BEVAS PARTNERS CONSULTORIA E SERVIÇOS EMPRESARIAIS LTDA.;BEVAS WEALTH MANAGEMENT;2021-05-12;;;EM FUNCIONAMENTO NORMAL;2021-05-12;PRIVADO;SEDE;AV. DESEMBARGADOR MOREIRA, 1.300/SL 1612 TORRE NORTE;BS DESIGN CORPORAT;ALDEOTA;FORTALEZA;CE;60170002;85;989071116;paulo.bessa@bevas.com.br;http://www.bevas.com.br/
23.785.970/0001-45;BFO CONSULTORIA EMPRESARIAL LTDA.;-----;2016-02-17;;;EM FUNCIONAMENTO NORMAL;2016-02-17;PRIVADO;SEDE;RUA FUNCHAL, 263;CJ 181 SL 02;VILA OLÍMPIA;SÃO PAULO;SP;4551060;11;30543540;ronaldo@belgravia.com.br;www.bfoconsultoria.com.br
10.979.208/0001-58;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;--;2023-02-15;;;EM FUNCIONAMENTO NORMAL;2023-01-24;;SEDE;AV.PRES. JUSC. KUBITSCHEK 2041;TORRE E/11AND /CJB;VL NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011;11;30284119;leticia.albuquerque@blackrock.com;
14.913.603/0001-99;BLASCO & CANETTIERI CONSULTORIA DE INVESTIMENTOS LTDA;--;2012-04-26;2015-08-05;CANCELAMENTO A PEDIDO;CANCELADA;2015-08-05;PRIVADO;SEDE;R COTOXO, 303;CONJ 124;PERDIZES;SÃO PAULO;SP;5021000;11;43067666;contato@bcinvestimentos.com;
12.488.733/0001-04;BLUX CONSULTORIA E INVESTIMENTOS LTDA;BLUX CONSULTORIA E INVESTIMENTOS;2010-09-27;2019-02-28;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-28;PRIVADO;SEDE;RUA DOM HENRIQUE Nº 383;;MOEMA;SÃO PAULO;SP;4032120;11;55712340;roberto.m.costa@uol.com.br;
42.040.271/0001-10;BMC CONSULTORIA DE VALORES MOBILIARIOS LTDA;BMC CONSULTORIA;2022-06-06;;;EM FUNCIONAMENTO NORMAL;2022-06-06;PRIVADO;SEDE;AV. GISELE CONSTANTINO, 1850/SALA 1608  ANEXO 1;;PARQUE BELA VISTA;VOTORANTIM;SP;18110650;15;997313292;luiz.cruz@bmcorporate.com.br;https://bmcorporate.com.br/
15.213.150/0001-50;BOCOM BBM CCVM S.A.;BOCOM BBM CORRETORA;2020-01-16;2022-11-08;CANCELAMENTO A PEDIDO;CANCELADA;2022-11-08;PRIVADO;SEDE;AV BARÃO DE TEFÉ, 34/SL 1801 E 1802;;SAÚDE;RIO DE JANEIRO;RJ;20220460;21;25148448;compliancecorporativo@bocombbm.com.br;www.bocombbm.com.br
51.990.695/0001-37;BRADESCO VIDA E PREVIDÊNCIA S.A.;BRADESCO VIDA E PREVIDÊNCIA S.A.;2012-01-09;2014-01-14;CANCELAMENTO A PEDIDO;CANCELADA;2014-01-14;PRIVADO;SEDE;CIDADE DE DEUS S/N;;VILA YARA;OSASCO;SP;6029900;11;36842122;vinicius.albernaz@bradescoseguros.com.br;
10.729.678/0001-63;BRAFIN ASSESSORES FINANCEIROS LTDA;--;2010-12-03;2013-08-20;CANCELAMENTO A PEDIDO;CANCELADA;2013-08-20;PRIVADO;;;;;;;;;;cai.igel@brafin.com.br;
17.415.310/0001-70;BRESCO INVESTIMENTOS E GESTÃO LTDA;BRESCO GESTÃO;2013-02-06;2013-11-22;CANCELAMENTO A PEDIDO;CANCELADA;2013-11-22;PRIVADO;SEDE;RUA HUNGRIA 620;4º ANDAR;JARDIM EUROPA;SÃO PAULO;SP;1455000;11;40584555;deptocontroladoria@bresco.com.br;
02.888.152/0001-06;BRZ INVESTIMENTOS LTDA;BRZ INVESTIMENTOS LTDA;2007-09-04;2018-11-21;CANCELAMENTO A PEDIDO;CANCELADA;2018-11-21;PRIVADO;SEDE;RUA GOMES DE CARVALHO N°1507;CONJUNTO 61;VILA OLÍMPIA;SÃO PAULO;SP;4547005;11;35388000;juridico@brz.com.br;www.brzinvestimentos.com.br
11.251.101/0001-51;BULLMARK INVESTIMENTOS E CONSULTORIA LTDA;BULLMARK;2010-12-03;2018-09-10;CANCELAMENTO A PEDIDO;CANCELADA;2018-09-10;PRIVADO;SEDE;SBS QD 02 LT 15 BL E SAL;1402;ASA SUL;BRASÍLIA;DF;70070120;61;30452022;renato.nobile@bullmark.com.br;www.bullmark.com.br
57.354.466/0001-02;BURSTIN LEVY CONSULTORES ASSOCIADOS S/C LTDA;BURSTIN LEVY;1987-11-27;2008-02-29;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2008-02-29;;SEDE;RUA SãO VICENTE, 134;;GRANJA VIANA;COTIA;SP;6708530;11;46173339;burstin@dialdata.com.br;
16.261.133/0001-51;BUSINESS CONS PART INV LTDA;BUSINESS;1987-11-12;1992-08-24;;CANCELADA;1992-08-24;PRIVADO;SEDE;R PORTUGAL 17 S/602 ED R FEIJO;;;SALVADOR;BA;40015000;;;;
16.677.006/0001-38;BWAG CONSULTORIA DE INVESTIMENTOS LTDA;BWAG GESTÃO PATRIMONIAL;2014-11-04;2018-12-14;CANCELAMENTO A PEDIDO;CANCELADA;2018-12-14;PRIVADO;SEDE;RUA IAIÁ, 77/4º ANDAR;CONJ. 41 SALA 1;ITAIM BIBI;SÃO PAULO;SP;4542060;11;33893100;bwag@bwag.com.br;
43.891.101/0001-02;BWM FAMILY OFFICE - PLANEJAMENTO TREINAMENTO E CONSULTORIA DE INVESTIMENTOS LTDA;BWM FAMILY OFFICE;2021-11-04;;;EM FUNCIONAMENTO NORMAL;2021-11-04;PRIVADO;SEDE;AV. TANCREDO NEVES, 620;SALA 1704;CAMINHO DAS ÁRVORES;SALVADOR;BA;41820020;71;81774408;contato@bwmfo.com.br;www.bwmfo.com.br
29.789.344/0001-03;CABEDAL INVESTIMENTOS & COMMODITIES LTDA;--;2011-07-18;2012-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-13;PRIVADO;SEDE;RUA DA CONCEIÇÃO, Nº 13;205 A 207;CENTRO;NITERÓI;RJ;24020080;21;31970265;carlosdutra@cabedal.net;
31.062.243/0001-88;CAEF CONS ASSOC FIN LTDA;CAEF;1987-06-30;2001-11-28;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-11-28;PRIVADO;SEDE;R. FELICIO DOS SANTOS,9 CASA 1;;;RIO DE JANEIRO;RJ;20240240;;;;
11.285.621/0001-85;CAPITAL ASSETS - CONSULTORIAS EMPRESARIAL, PATRIMONIAL LTDA.;CAPYTAL ASSETS;2021-03-23;;;EM FUNCIONAMENTO NORMAL;2021-03-23;PRIVADO;SEDE;AVENIDA CARLOS GOMES, 700/CJ 609;;AUXILIADORA;PORTO ALEGRE;RS;90480000;51;37792448;anselmo@capytalassets.com.br;www.capytalassets.com.br
11.055.841/0001-12;CAPITAL CONSULTORIA FINANCEIRA E PREVIDENCIARIA LTDA;--CAPITAL FINANÇAS E PREVIDÊNCIA;2009-12-07;2014-03-14;CANCELAMENTO A PEDIDO;CANCELADA;2014-03-14;PRIVADO;;;;;;;;;;reynaldomelo@hotmail.com;capitalprevidencia@hotmail.com
11.646.992/0001-45;CAPITAL GESTÃO E INVESTIMENTOS LTDA;--;2012-10-02;2019-01-03;CANCELAMENTO A PEDIDO;CANCELADA;2019-01-03;PRIVADO;SEDE;RUA VISCONDE DE PIRAJÁ, 430;SALA 905;IPANEMA;RIO DE JANEIRO;RJ;22410002;21;35092150;fbarbara@capitalinv.com.br;
27.253.377/0001-09;CAPITALIZO CONSULTORIA FINANCEIRA LTDA ME;CAPITALIZO CONSULTORIA FINANCEIRA;2017-07-05;2018-12-18;CANCELAMENTO A PEDIDO;CANCELADA;2018-12-18;PRIVADO;SEDE;RUA ESTEIO, 41;;IDEAL;NOVO HAMBURGO;RS;93334420;51;30653557;capitalizoinvestimentos@gmail.com;
30.892.053/0001-25;CAPITALTEC S/A CONS ECONOMICA;CAPITALTEC CONS ECON;1986-07-25;2006-02-23;CANCELAMENTO A PEDIDO;CANCELADA;2006-02-23;PRIVADO;SEDE;AV ALMTE BARROSO 52 SALA 3101;;CENTRO;RIO DE JANEIRO;RJ;20031000;21;32313000;;
06.039.551/0001-45;CAPITÂNIA CONSULTORIA E SERVIÇOS LTDA.;CAPITÂNIA CONSULTORIA E SERVIÇOS LTDA.;2021-03-24;;;EM FUNCIONAMENTO NORMAL;2021-03-24;PRIVADO;SEDE;RUA TAVARES CABRAL, 102/CJ 64;6º ANDAR;PINHEIROS;SÃO PAULO;SP;5423030;11;28538800;mbrisolla@capitania.net;www.capitaniaadvisors.com.br
04.274.010/0001-76;CAPITÂNIA INVEST S/A;CAPITÂNIA INVEST;2008-09-17;2021-05-26;CANCELAMENTO A PEDIDO;CANCELADA;2021-05-26;PRIVADO;SEDE;RUA TAVARES CABRAL, 102;6;PINHEIROS;SÃO PAULO;SP;5423030;11;28538800;mbrisolla@capitania.net;www.capitania.net
14.868.120/0001-10;CARPA CONSULTORIA FINANCEIRA E GESTÃO PATRIMONIAL LTDA.;CARPA CONSULTORIA;2012-08-10;2017-02-03;CANCELAMENTO A PEDIDO;CANCELADA;2017-02-03;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA;4300 / 3º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4545042;11;56332766;pablo.domeniconi@carpafamily.com;http://carpapatrimonial.com.br/
14.868.120/0001-10;CARPA CONSULTORIA FINANCEIRA E GESTÃO PATRIMONIAL LTDA.;CARPA CONSULTORIA;2022-01-04;;;EM FUNCIONAMENTO NORMAL;2022-01-04;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA;4300 / 3º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4545042;11;56332766;pablo.domeniconi@carpafamily.com;https://carpafamilyoffice.com
29.069.487/0001-40;CARTEIRA ONLINE CONTROLE DE INVESTIMENTOS LTDA.;CARTEIRA ONLINE CONTROLE DE INVESTIMENTOS LTDA.;2019-08-27;2022-09-20;CANCELAMENTO A PEDIDO;CANCELADA;2022-09-20;PRIVADO;SEDE;RUA FUNCHAL, 19/3º ANDAR;;VILA FUNCHAL;SÃO PAULO;SP;4551060;;;walter@fliper.app;www.carteiraonline.com.br
29.366.382/0001-53;CASTELO CONS ECON FINC LTDA;CASTELO;1987-06-30;1988-12-07;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1988-12-07;PRIVADO;SEDE;R BARAO DE MESQUITA 770 SOBR;;;RIO DE JANEIRO;RJ;20540004;;;;
07.356.627/0001-29;CB SERVIÇOS DE CONSULTORIA LTDA;CB SERVIÇOS DE CONSULTORIA LTDA;2006-09-14;2009-09-09;CANCELAMENTO A PEDIDO;CANCELADA;2009-09-09;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA;Nº2055 - 8 A/ 82;;SÃO PAULO;SP;1452001;11;30352099;stefano@cbserv.com.br;
47.864.742/0001-29;CENTURIA CONSULTORIA DE VALORES MOBILIARIOS LTDA.;CENTURIA CONSULTORIA DE VALORES MOBILIARIOS LTDA.;2022-12-21;;;EM FUNCIONAMENTO NORMAL;2022-12-21;;SEDE;Avenida Brigadeiro Faria Lima, nº 2613;6º andar, conj. 61;Jardim Paulistano;SÃO PAULO;SP;1452000;11;43693505;ricardo.miralla@centuriainvest.com.br;
50.073.190/0001-45;CENTURY ADMINISTRACAO E GESTAO DE PATRIMONIO LTDA;CENTURY MULTI FAMILY OFFICE;2023-03-29;;;EM FUNCIONAMENTO NORMAL;2023-03-29;;SEDE;AV MARIO YPIRANGA, 315;Sala 808;ADRIANOPOLIS;MANAUS;AM;69057000;92;981288181;leo.cunha@centurymfo.com.br;
05.097.487/0001-96;CERES INTELIGÊNCIA FINANCEIRA LTDA.;CERES;2009-01-09;;;EM FUNCIONAMENTO NORMAL;2009-01-09;PRIVADO;SEDE;AV. DO CONTORNO, 3800;CONJ 1201/1202;SANTA EFIGENIA;BELO HORIZONTE;MG;30110022;31;30362400;antonio@ceresinteligencia.com.br;
30.798.071/0001-42;CERVELLINI INVESTIMENTOS E PLANEJAMENTO PATRIMONIAL LTDA;CERVELLINI WEALTH PLANNING LTDA;2022-03-16;;;EM FUNCIONAMENTO NORMAL;2022-03-16;PRIVADO;SEDE;RUA DOUTOR ANTONIO BENTO, 560/SALA 1206;;SANTO AMARO;SÃO PAULO;SP;4750001;11;992431010;mauro@cervelliniwp.com.br;www.cervelliniwp.com.br
32.352.944/0001-14;CIANO GESTÃO DE RECURSOS E EDUCAÇÃO LTDA.;CIANO;2021-07-06;2022-06-21;CANCELAMENTO A PEDIDO;CANCELADA;2022-06-21;PRIVADO;SEDE;RUA T 55, Nº 930, QUADRA 99, LOTE 11/14, SALA 1308;ED WALK BUENO BUSINESS;SETOR BUENO;GOIÂNIA;GO;74215170;62;993365897;contato@cianoinvestimentos.com;http://www.cianoinvestimentos.com/
55.517.163/0001-38;CIENCIA ASSES PART SC LTDA;CIENCIA;1986-10-23;1991-04-11;;CANCELADA;1991-04-11;PRIVADO;SEDE;AV BRIG FARIA LIMA 830 CONJ 41;;;SÃO PAULO;SP;1452000;;;;
41.231.189/0001-00;CIFI AM BRAZIL LTDA;CIFI AM BRAZIL LTDA.;2022-06-07;;;EM FUNCIONAMENTO NORMAL;2022-06-07;PRIVADO;SEDE;RUA GOMES DE CARVALHO, 1666/14º ANDAR SALA 5;;VILA OLíMPIA;SÃO PAULO;SP;4547006;11;999819359;luis.soares@cifi.com;http://cifiam.com/brazil/
35.622.639/0001-93;CILP CONSULTORIA DE VALORES MOBILIÁRIOS LTDA;CILP;2021-08-12;;;EM FUNCIONAMENTO NORMAL;2021-08-12;PRIVADO;SEDE;RUA SENADOR CANDIDO FERRAZ, 1250/SALA 06;;JOQUEI;TERESINA;PI;64049250;86;94153887;investimentos@cilp.com.br;http://www.cilp.com.br/
42.249.747/0001-28;CLUBE DO VALOR CONSULTORIA DE VALORES MOBILIÁRIOS LTDA;CLUBE DO VALOR CONSULTORIA;2021-06-16;;;EM FUNCIONAMENTO NORMAL;2021-06-16;PRIVADO;SEDE;AVENIDA NOVA YORK, 10/SL 704;;AUXILIADORA;PORTO ALEGRE;RS;90550070;51;30696686;financeiro@clubedovalor.com.br;http://www.clubedovalor.com.br/consultoria
44.909.155/0001-10;COINEXT CONSULTORIA LTDA.;COINEXT CONSULTORIA;2022-03-31;2023-03-27;CANCELAMENTO A PEDIDO;CANCELADA;2023-03-27;PRIVADO;SEDE;RUA RIO GRANDE DO NORTE, Nº 1.435;15º ANDAR;SAVASSI;BELO HORIZONTE;MG;30130138;31;21230000;luciano.pantuso@coinext.com.br;https://www.coinext.com.br
24.986.198/0001-92;COMPASS CONSULTORIA E ASSESSORIA FINANCEIRA LTDA.;COMPASS CONSULTORIA E ASSESSORIA FINANCEIRA LTDA.;2016-08-10;2017-01-04;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-04;PRIVADO;SEDE;RUA EPISCOPAL, 1616/81;;CENTRO;SÃO CARLOS;SP;13560570;16;34195996;lucas.harris1@gmail.com;
12.553.312/0001-01;COMSTOP CONSULTORIA FINANCEIRA LTDA;--;2010-12-08;2018-06-26;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-26;PRIVADO;SEDE;RUA JAMES WATT, 142;3º ANDAR;JARDIM EDITH;SÃO PAULO;SP;4576050;11;39575890;contato@comstop.com.br;www.comstop.com.br
19.389.406/0001-36;CONFIANÇA CONSULTORIA EM INVESTIMENTOS LTDA;CONFIANÇA CONSULTORIA EM INVESTIMENTOS LTDA;2014-01-10;;;EM FUNCIONAMENTO NORMAL;2014-01-10;PRIVADO;SEDE;AV. OLINDA, N 960 SL 808 QD H4;LT 01/03;PARK LOZANDES;GOIÂNIA;GO;74884120;62;39246211;compliance@confiancainvest.com.br;www.confiancainvest.com.br
15.665.087/0001-93;CONFIANÇA PLANEJAMENTO E CONSULTORIA EM INVESTIMENTOS FINANCEIROS LTDA.;CONFIANÇA PLANEJAMENTO FINANCEIRO;2020-10-20;;;EM FUNCIONAMENTO NORMAL;2020-10-20;PRIVADO;SEDE;SHN QD 1 CJ A BL F SL 1504 PARTE A;ED VISION WORK E L;ASA NORTE;BRASÍLIA;DF;70701000;61;39649902;contato@confiancaplanejamento.com;www.confiancaplanejamento.com
37.980.602/0001-62;CONSIST CONSULTORIA FINANCEIRA E CONSOLIDAÇÃO PATRIMONIAL LTDA.;CONSIST;2021-07-19;;;EM FUNCIONAMENTO NORMAL;2021-07-19;PRIVADO;SEDE;RUA PROF. VAHIA DE ABREU, 383/124;;VILA OLÍMPIA;SÃO PAULO;SP;4549002;11;943071525;atendimento@consistconsultoria.com.br;https://www.cmfo.com.br/
02.309.541/0001-21;CONSULER CONSULTORIA  FINANCEIRA LTDA;CONSULER CONSULTORIA;1998-02-02;2006-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2006-03-31;;SEDE;AV. CÂNDIDO DE ABREU, 651;CONJ. 154;CENTRO CÍVICO;CURITIBA;PR;80530000;;;;
08.380.394/0001-62;CR2 SERVIÇOS FINANCEIROS LTDA;--;2011-02-24;2013-11-12;CANCELAMENTO A PEDIDO;CANCELADA;2013-11-12;PRIVADO;SEDE;RUA DO MERCADO 7;SALAS 301 E 302;CENTRO;RIO DE JANEIRO;RJ;20010120;21;38062901;cr2serv@cr2serv.com.br;
47.269.768/0001-29;CREDENCIA + INVESTIMENTOS LTDA.;CREDENCIA + INVESTIMENTOS;2022-08-22;;;EM FUNCIONAMENTO NORMAL;2022-08-22;PRIVADO;SEDE;TRAVESSA SAO JOSE, 455;;NAVEGANTES;PORTO ALEGRE;RS;90240200;51;996344595;credenciamais@suport.com;https://credenciamais.com.br/
05.832.580/0001-05;CREDIT SUISSE CONSULTORIA DE INVESTIMENTOS LTDA;CREDIT SUISSE CONSULTORIA DE INVESTIMENTOS LTDA;2011-02-11;2023-03-10;CANCELAMENTO A PEDIDO;CANCELADA;2023-03-10;PRIVADO;SEDE;LEOPOLDO C. MAGALHAES JR, 700;11º ANDAR (PARTE);ITAIM BIBI;SÃO PAULO;SP;4542000;11;21077700;bruno.rodrigues@credit-suisse.com;
61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A;2013-08-07;2018-11-05;CANCELAMENTO A PEDIDO;CANCELADA;2018-11-05;PRIVADO;SEDE;RUA LEOPOLDO COUTO MAGALHÃES J;13º ANDAR - PARTE;ITAIM BIBI;SÃO PAULO;SP;4542000;11;37016800;list.csbg-unicad@credit-suisse.com;
68.328.632/0001-12;CREDIT SUISSE HEDGING-GRIFFO WEALTH MANAGEMENT S.A.;CREDIT SUISSE HEDGING-GRIFFO WEALTH MANAGEMENT S.A.;2022-12-21;;;EM FUNCIONAMENTO NORMAL;2022-12-21;;SEDE;LEOPOLDO COUTO MAGALHÃES JR.700;11º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4542000;11;37016800;list.csbg-unicad@credit-suisse.com;
11.340.009/0001-68;CREDITO & MERCADO GESTÃO DE VALORES MOBILIÁRIOS LTDA;CREDITO & MERCADO CONSULTORIA EM INVESTIMENTOS;2010-02-25;;;EM FUNCIONAMENTO NORMAL;2010-02-25;PRIVADO;SEDE;RUA BARÃO DE PARANAPIACABA, 231;CJ. 150;ENCRUZILHADA;SANTOS;SP;11050251;13;38788400;samanta@creditoemercado.com.br;http://www.creditoemercado.com.br/consultoria-em-investiment
20.306.104/0001-36;CREDITO E MERCADO ENGENHARIA FINANCEIRA EIRELI;-;2014-07-07;;;EM FUNCIONAMENTO NORMAL;2014-07-07;PRIVADO;SEDE;RUA TAPINAS, 22;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4531050;11;31680053;samanta@creditoemercado.com.br;https://www.creditoemercado.com.br/engefin/
47.820.404/0001-95;CRESCENTO CONSULTORIA EM PLANEJAMENTO INVESTIMENTO LTDA.;CRESCENTO PLANEJAMENTO E INVESTIMENTO;2022-10-28;;;EM FUNCIONAMENTO NORMAL;2022-10-28;;SEDE;Rua Vilela Filho;106;Santa Helena;JUIZ DE FORA;MG;36015280;32;991248456;eduardo.borges@crescento.com.br;
12.148.105/0001-71;CRISTAL CONSULTORIA DE INVESTIMENTOS LTDA.;--;2010-08-18;2016-12-13;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-13;PRIVADO;SEDE;RUA IGUATEMI, Nº 448;7º AND/CONJ 702;ITAIM BIBI;SÃO PAULO;SP;1451010;;;julio0385@gmail.com;
02.696.620/0001-32;CSM CONSULTORIA E SEGURIDADE MUNICIPAL S/S EPP;CSM CONSULTORIA ATUARIAL;2014-10-24;2019-03-08;CANCELAMENTO A PEDIDO;CANCELADA;2019-03-08;PRIVADO;SEDE;RUA GUTEMBERG, 151;CONJ. 701;PETRÓPOLIS;PORTO ALEGRE;RS;91310010;51;32129022;csm@csm-atuarial.com.br;http://www.csm-atuarial.com.br/
10.198.379/0001-40;CUNHA CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;THEMA CONSULTORIA;2009-06-19;;;EM FUNCIONAMENTO NORMAL;2009-06-19;PRIVADO;SEDE;RUA TABAPUÃ;888, CONJ145;ITAIM BIBI;SÃO PAULO;SP;4533003;11;996553735;mario@tcvm.com.br;www.themacvm.com.br
38.315.642/0001-52;CX3 CONSULTORIA E GESTAO DE INVESTIMENTOS LTDA.;CX3;2021-03-18;;;EM FUNCIONAMENTO NORMAL;2021-03-18;PRIVADO;SEDE;R. QUINTANA, 887;CJ. 31;CIDADE MONÇÕES;SÃO PAULO;SP;4569011;11;983843388;contato@cx3.com.br;www.cx3.com.br
28.415.337/0001-89;DENARIUS CONSULTORIA DE INVESTIMENTOS LTDA - EPP;DENARIUS INVESTIMENTOS;2017-08-24;;;EM FUNCIONAMENTO NORMAL;2017-08-24;PRIVADO;SEDE;R PROF ATILIO INNOCENTI, 474;CJ 903;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4538001;11;23378436;bruno@denariusinvestimentos.com.br;
62.331.228/0001-11;DEUTSCHE BANK SA - BANCO ALEMAO;DEUTSCHE BANK SA;1994-07-20;2003-07-16;CANCELAMENTO A PEDIDO;CANCELADA;2003-07-16;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 3900;13 E 14º ANDAR;ITAIM-BIBI;SÃO PAULO;SP;4538132;11;21135294;tatiana.ricardi@db.com;
06.991.802/0001-97;DEUTSCHE IXE BRASIL CONSULTORIA EM VALORES MOBILIARIOS LTDA;DEUTSCHE IXE BRASIL CONSULTORIA EM VALORES MOBILIARIOS LTDA;2004-11-17;2006-02-23;CANCELAMENTO A PEDIDO;CANCELADA;2006-02-23;PRIVADO;SEDE;RUA ALEXANDRE DUMAS 2200;1 ANDAR;;SÃO PAULO;SP;4717910;;;roberto.rocha@deutscheixe.com;
05.545.996/0001-34;DEVERE DO BRASIL LTDA.;CONSULTORIA;2007-10-03;2010-12-20;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2010-12-20;PRIVADO;SEDE;AV. CIDADE JARDIM, Nº 400;20º ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1454901;;;saopaulo@devereandpartners.com;www.devere-group.com
03.866.812/0001-02;DI BLASI CONSULTORIA FINANCEIRA LTDA.;--;2008-06-06;;;EM FUNCIONAMENTO NORMAL;2008-06-06;PRIVADO;SEDE;AVENIDA PASSOS 101;SALA 1002;CENTRO;RIO DE JANEIRO;RJ;20051040;21;982006716;prblasi@hotmail.com;www.diblasiconsultoria.com.br
