CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CATEG_REG;SUBCATEG_REG;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;VL_PATRIM_LIQ;DT_PATRIM_LIQ;EMAIL;SITE_ADMIN
33.485.541/0001-06;BANCO BOAVISTA INTERATLÂNTICO S.A.;BANCO BOAVISTA INTERATLANTICO SA;1989-06-09;2000-09-15;CANCELAMENTO A PEDIDO;CANCELADA;2000-09-15;;;;SEDE;CIDADE DE DEUS, S/N;PRÉDIO PRATA 4 AND;VILA YARA;OSASCO;SP;6029900;11;36845122;0.00;1990-12-31;4260.guilherme@bradesco.com.br;
15.114.366/0001-69;BANCO BOCOM BBM S.A.;BCO BOCOM BBM;1989-06-07;2018-08-01;CANCELAMENTO A PEDIDO;CANCELADA;2018-08-01;Gestor de Carteira;;PRIVADO;SEDE;RUA MIGUEL CALMON 398;7º ANDAR;COMÉRCIO;SALVADOR;BA;40015040;21;25148477;420545037.17;2001-12-31;compliancecorporativo@bocombbm.com.br;
06.271.464/0001-19;BANCO BRADESCO BBI S.A.;--;1992-11-16;2004-01-16;CANCELAMENTO A PEDIDO;CANCELADA;2004-01-16;;;PRIVADO;SEDE;CIDADE DE DEUS, PRÉDIO PRATA;4º ANDAR;VILA YARA;OSASCO;SP;6029900;11;36844630;37948000.00;2003-12-31;felipe.thut@bradescobbi.com.br;
06.271.464/0001-19;BANCO BRADESCO BBI S.A.;--;2008-01-21;2015-09-17;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-17;;;PRIVADO;SEDE;CIDADE DE DEUS, PRÉDIO PRATA;4º ANDAR;VILA YARA;OSASCO;SP;6029900;11;36844630;;;felipe.thut@bradescobbi.com.br;
59.438.325/0001-01;BANCO BRADESCO CARTOES S.A.;INTER AMERICAN EXPRESS;1989-08-07;2003-01-03;CANCELAMENTO A PEDIDO;CANCELADA;2003-01-03;;;;SEDE;CIDADE DE DEUS, PRÉDIO PRATA;4º ANDAR;VILA YARA;OSASCO;SP;6029900;11;36845122;105417756.58;2001-12-31;ismael.ferraz@bradesco.com.br;
60.746.948/0001-12;BANCO BRADESCO S.A.;BANCO BRADESCO S.A.;1992-12-10;;;EM FUNCIONAMENTO NORMAL;1992-12-10;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;NÚCLEO CIDADE DE DEUS;S/N;VILA YARA;OSASCO;SP;6029900;11;36844522;41753751000.00;2009-12-31;marcia.masiero@bradesco.com.br;www.bradesco.com.br
27.937.333/0001-06;BANCO BRJ SA - EM LIQUIDAÇÃO EXTRAJUDICIAL;BRJ - BANCO;1995-06-14;1999-09-28;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1999-09-28;;;PRIVADO;SEDE;RUA DOM GERARDO, Nº 63;SLS 1709 A 1711;CENTRO;RIO DE JANEIRO;RJ;20090030;21;25071623;15063622.61;1998-12-31;brjsa@bancobrj.com.br;
27.937.333/0001-06;BANCO BRJ SA - EM LIQUIDAÇÃO EXTRAJUDICIAL;BRJ - BANCO;2001-07-24;2021-04-20;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2021-04-20;Gestor de Carteira;;PRIVADO;SEDE;RUA DOM GERARDO, Nº 63;SLS 1709 A 1711;CENTRO;RIO DE JANEIRO;RJ;20090030;21;25071623;21870926.86;2003-12-31;brjsa@bancobrj.com.br;
30.306.294/0001-45;BANCO BTG PACTUAL S/A;BANCO UBS PACTUAL S/A;1989-07-26;2016-07-21;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-21;Gestor de Carteira;;PRIVADO;SEDE;Praia de Botafogo, 501;5º e 6º andares;Botafogo;RIO DE JANEIRO;RJ;22250040;21;32629600;6602893000.00;2010-12-31;ri@btgpactual.com;
32.254.138/0001-03;BANCO BVA SA;BANCO BVA;1993-08-24;2021-04-20;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2021-04-20;Gestor de Carteira;;PRIVADO;SEDE;A. Afrânio de Melo Franco, 290;SALA 101;LEBLON;RIO DE JANEIRO;RJ;22430041;21;32311160;-2205747310.21;2012-12-31;sac@bancobva.com.br;
33.349.358/0001-83;BANCO CACIQUE SA;CACIQUE CFI;1995-03-02;2000-03-17;CANCELAMENTO A PEDIDO;CANCELADA;2000-03-17;;;PRIVADO;SEDE;RUA BOA VISTA 254;10º ANDAR;CENTRO;SÃO PAULO;SP;1014907;11;30485000;171084672.85;1999-12-31;compliance@bancocacique.com.br;
03.609.817/0001-50;BANCO CARGILL S.A.;BANCO CARGILL S.A.;2002-05-23;2006-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2006-03-31;;;PRIVADO;SEDE;AV. DR. CHUCRI ZAIDAN, 1240;6º ANDAR;VILA SÃO FRANCISCO;SÃO PAULO;SP;4711130;11;50993175;;;tayana_zampol@cargill.com;
29.916.293/0001-33;BANCO CINDAM S/A;CINDAM - BANCO;1992-09-17;1994-03-24;;CANCELADA;1994-03-24;;;PRIVADO;SEDE;AV PRES WILSON 231 / 17 ANDAR;;CENTRO;RIO DE JANEIRO;RJ;20030021;21;2121822;40511888.57;1995-12-31;;
29.916.293/0001-33;BANCO CINDAM S/A;CINDAM - BANCO;1994-03-24;1997-05-06;;CANCELADA;1997-05-06;;;PRIVADO;SEDE;AV PRES WILSON 231 / 17 ANDAR;;CENTRO;RIO DE JANEIRO;RJ;20030021;21;2121822;40511888.57;1995-12-31;;
33.479.023/0001-80;BANCO CITIBANK S.A;CITIBANK - BANCO;1994-03-10;;;EM FUNCIONAMENTO NORMAL;1994-03-10;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;AV. PAULISTA, Nº 1.111;2º ANDAR PARTE;BELA VISTA;SÃO PAULO;SP;1311920;11;40093000;515225157.56;1998-12-31;atendimento.fundos@citi.com;www.citi.com
31.597.552/0001-52;BANCO CLÁSSICO S.A.;--;2006-12-12;;;EM FUNCIONAMENTO NORMAL;2006-12-12;Administrador Fiduciário e Gestor de Carteira;Instituição Financeira;PRIVADO;SEDE;AV. PRES. VARGAS, 463;13º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20071003;21;22216142;;;bancoclassico@uol.com.br;www.bancoclassico.com.br
07.814.999/0001-51;BANCO COMERCIAL BANCESA S.A.;BCO COMERCIAL BANCESA;1992-10-21;1999-04-30;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;1999-04-30;;;PRIVADO;SEDE;AV DUQUE DE CAXIAS 420;;;FORTALEZA;CE;60035110;85;2116000;0.00;1994-12-31;;
61.230.165/0001-44;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.;1989-06-07;2011-10-28;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2011-10-28;;;PRIVADO;SEDE;Avenida Paulista, 1.374;3º andar (parte);CERQUEIRA CESAR;SÃO PAULO;SP;1310916;11;35533200;1101647298.11;2002-12-31;juridsocietario@santander.com.br;
02.038.232/0001-64;BANCO COOPERATIVO SICOOB S.A;BANCO COOPERATIVO DO BRASIL S/A;2003-02-03;2006-01-30;CANCELAMENTO A PEDIDO;CANCELADA;2006-01-30;;;PRIVADO;SEDE;SIG QUADRA 06 N 2080;;SUDOESTE;BRASÍLIA;DF;70610460;61;32175229;;;carlasilva@sicoob.com.br;
01.181.521/0001-55;BANCO COOPERATIVO SICREDI S.A.;BANCO COOPERATIVO SICREDI S.A.;1997-03-24;1997-08-13;;CANCELADA;1997-08-13;;;PRIVADO;SEDE;AVENIDA ASSIS BRASIL;3940 - 12º ANDAR;SÃO SEBASTIÃO;PORTO ALEGRE;RS;91060900;51;33584702;;;diretoria_banco@sicredi.com.br;
01.181.521/0001-55;BANCO COOPERATIVO SICREDI S.A.;BANCO COOPERATIVO SICREDI S.A.;1997-09-24;;;EM FUNCIONAMENTO NORMAL;1997-10-10;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;AVENIDA ASSIS BRASIL;3940 - 12º ANDAR;SÃO SEBASTIÃO;PORTO ALEGRE;RS;91060900;51;33584702;2449876219.65;2021-12-31;diretoria_banco@sicredi.com.br;www.sicredi.com.br
33.461.468/0001-32;BANCO CREDIBANCO SA;CREDIBANCO - BANCO;1989-02-15;2003-01-03;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2003-01-03;;;PRIVADO;SEDE;ALAMEDA RIO NEGRO, 433/ 3 AND.;SETOR OESTE PRED.1;ALPHAVILLE INDUSTRIAL;BARUERI;SP;6454000;011;30394583;183554823.58;1998-12-31;marcelo.alves1@unibanco.com.br;
75.647.891/0001-71;BANCO CREDIT AGRICOLE BRASIL S/A;BANCO CREDIT LYONNAIS BRASIL S.A.;1989-07-26;2009-05-19;CANCELAMENTO A PEDIDO;CANCELADA;2009-05-19;;;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA 4440;3 ANDAR;ITAIM BIBI;SÃO PAULO;SP;4538132;11;38966300;0.00;1990-12-31;luciano.guimaraes@ca-cib.com;
50.589.357/0001-25;BANCO CREDIT COM DE FRANCE SA;CREDIT COM DE FRANCE;1990-02-22;1994-04-15;;CANCELADA;1994-04-15;;;PRIVADO;SEDE;AV PAULISTA 1106 - 5 ANDAR;;;SÃO PAULO;SP;1310100;11;38871;;;;
21.562.962/0001-04;BANCO CREDITO REAL DE MG SA;BANCO CREDITO REAL DE MG;1993-03-22;1998-10-15;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1998-10-15;;;;SEDE;RUA ESPIRITO SANTO 485/3 ANDAR;;;BELO HORIZONTE;MG;30160917;31;2393946;6778000.00;1997-12-31;4260.guilherme@bradesco.com.br;
52.940.350/0001-31;BANCO CREFISUL S.A.;CREFISUL;1996-10-18;2001-11-28;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-11-28;;;PRIVADO;SEDE;AV. PAULISTA, 2421 - 6º ANDAR;;CERQUEIRA CESAR;SÃO PAULO;SP;1311300;11;30634400;127731000.00;1998-12-31;oscar.crefisul@terra.com.br;
96.230.370/0001-94;BANCO DAS NAÇÕES SA;BANCO DAS NAÇÕES;1996-01-26;1999-03-31;CANCELAMENTO A PEDIDO;CANCELADA;1999-03-31;;;PRIVADO;SEDE;RUA XV DE NOVEMBRO 193;;CENTRO;SÃO PAULO;SP;1013001;02;578520;10216410.94;1998-12-31;;
62.232.889/0001-90;BANCO DAYCOVAL S.A.;BANCO DAYCOVAL S.A.;1994-02-07;2005-11-11;CANCELAMENTO A PEDIDO;CANCELADA;2005-11-11;;;PRIVADO;SEDE;AV. PAULISTA, 1793;;BELA VISTA;SÃO PAULO;SP;1311200;11;31381025;289728491.13;2003-12-31;ri@bancodaycoval.com.br;
62.232.889/0001-90;BANCO DAYCOVAL S.A.;BANCO DAYCOVAL S.A.;2019-12-06;;;EM FUNCIONAMENTO NORMAL;2019-12-06;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;AV. PAULISTA, 1793;;BELA VISTA;SÃO PAULO;SP;1311200;11;31381025;;;ri@bancodaycoval.com.br;https://www.daycoval.com.br/
58.685.322/0001-00;BANCO DE INVESTIMENTOS BMC SA;BMC;1990-04-23;2001-07-06;ELISÃO POR INCORPORAÇÃO;CANCELADA;2001-07-06;;;PRIVADO;SEDE;AV DAS NACOES UNIDAS 12995;24 ANDAR;CHACARA ITAIM;SÃO PAULO;SP;4578000;11;55037732;0.00;1990-12-31;;
33.987.793/0001-33;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S/A;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S/A;1990-06-04;2016-05-27;CANCELAMENTO A PEDIDO;CANCELADA;2016-05-27;Administrador Fiduciário e Gestor de Carteira;Instituição Financeira;PRIVADO;SEDE;R.LEOPOLDO C.MAGALHAES JR.700;10,12A14 AND PARTE;ITAIM BIBI;SÃO PAULO;SP;4542000;11;37016800;404443805.93;2001-12-31;list.csbg-unicad@credit-suisse.com;
10.866.788/0001-77;BANCO DE PERNAMBUCO S.A. - BANDEPE;BANCO DE PERNAMBUCO S.A. - BANDEPE;1993-04-23;2000-12-05;CANCELAMENTO A PEDIDO;CANCELADA;2000-12-05;;;PRIVADO;SEDE;AV. PRES. JUSCELINO KUBITSCHEK;2041/2235;VILA OLÍMPIA;SÃO PAULO;SP;4543011;11;35530034;-130262000.00;1998-12-31;corgreguladores@santander.com.br;
59.551.945/0001-44;BANCO DEL REY INV SA;BCO DEL REY INV SA;1995-04-10;1995-04-10;ELISÃO POR INCORPORAÇÃO;CANCELADA;1995-04-10;;;PRIVADO;SEDE;AV BRIG FARIA LIMA 1276 10AND;;;SÃO PAULO;SP;1452000;011;2337165;17094986.36;1996-12-31;;
62.027.453/0001-69;BANCO DESTAK SA;BANCO DESTAK SA;1994-08-26;1999-08-26;CANCELAMENTO A PEDIDO;CANCELADA;1999-08-26;;;PRIVADO;SEDE;R DA ASSEMBLEIA 77 13ANDAR;;;RIO DE JANEIRO;RJ;20011001;21;22214977;11070243.24;1996-12-31;;
61.199.881/0001-06;BANCO DIBENS SA;BANCO DIBENS SA;1997-02-27;1999-06-10;CANCELAMENTO A PEDIDO;CANCELADA;1999-06-10;;;PRIVADO;SEDE;RUA PARAPUÃ, 1840;PAVIMENTO SUPERIOR;ITABERABA;SÃO PAULO;SP;2831001;011;50199872;159964978.03;1998-12-31;relacionamento.bacen@itau-unibanco.com.br;
60.680.881/0001-60;BANCO DIGIBANCO S/A;DIGIBANCO;1995-12-26;1997-10-16;;CANCELADA;1997-10-16;;;PRIVADO;SEDE;R. HADDOCK LOBO, 684 - 4 AND;;;SÃO PAULO;SP;1414000;11;2140010;13392153.38;1996-12-31;;
31.198.187/0001-03;BANCO DIMENSÃO (SUCEDIDO POR FLPM PARTICIPAÇÕES S.A);EX BANCO DIMENSAO;1993-07-29;1998-04-27;CANCELAMENTO A PEDIDO;CANCELADA;1998-04-27;;;PRIVADO;SEDE;RUA MEXICO 164 SALAS 33 E 34;;;RIO DE JANEIRO;RJ;20031143;021;2922002;;;;
00.000.000/0001-91;BANCO DO BRASIL S.A.;BANCO DO BRASIL S.A.;2005-11-11;2012-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-13;;;ESTATAL;SEDE;Saun Quadra 05, Lote B;Ed. BB;Asa Norte;BRASÍLIA;DF;70040912;61;34939002;36119265000.00;2009-12-31;ri@bb.com.br;
03.468.907/0001-78;BANCO DO ESTADO DE MATO GROSSO S.A.;BCO ESTADO MATO GROSSO;1993-07-26;2004-05-07;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2004-05-07;;;PRIVADO;SEDE;AV.GETULIO VARGAS, 247;;;CUIABÁ;MT;78005100;65;6244111;-26009000.00;1996-12-31;;
04.797.262/0001-80;BANCO DO ESTADO DE RONDÔNIA S/A;BCO.EST.ROND.(C.ESP);1994-05-03;1998-11-27;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1998-11-27;;;PRIVADO;SEDE;AV SETE DE SETEMBRO 237;;;PORTO VELHO;RO;78900000;0000;92233629;;;;
83.876.003/0001-10;BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;BESC S.A.;2005-01-14;2008-11-07;CANCELAMENTO A PEDIDO;CANCELADA;2008-11-07;;;PRIVADO;SEDE;PRAçA XV DE NOVEMBRO, 329;3º ANDAR;CENTRO;FLORIANÓPOLIS;SC;88010901;48;32399000;190660000.00;2007-12-31;ouvidoria@besc.com.br;
04.913.711/0001-08;BANCO DO ESTADO DO PARÁ S/A.;BANPARÁ S.A.;1993-09-23;2001-09-20;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-09-20;;;PRIVADO;SEDE;Av. Presidente Vargas, n° 251;4° andar;Campina;BELÉM;PA;66010000;91;33483211;-79405000.00;1998-12-31;rbarreto@banparanet.com.br;
04.913.711/0001-08;BANCO DO ESTADO DO PARÁ S/A.;BANPARÁ S.A.;2005-07-21;2010-01-29;CANCELAMENTO A PEDIDO;CANCELADA;2010-01-29;;;PRIVADO;SEDE;Av. Presidente Vargas, n° 251;4° andar;Campina;BELÉM;PA;66010000;91;33483211;211280000.00;2009-12-31;rbarreto@banparanet.com.br;
92.702.067/0001-96;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BANRISUL S/A;1993-03-22;2001-05-08;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-05-08;;;;SEDE;RUA CAPITÃO MONTANHA, 177;4º ANDAR;CENTRO;PORTO ALEGRE;RS;90010040;51;32153723;476853000.00;1998-12-31;secretaria_dg@banrisul.com.br;
92.702.067/0001-96;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BANRISUL S/A;2005-01-28;2021-04-08;CANCELAMENTO A PEDIDO;CANCELADA;2021-04-08;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;RUA CAPITÃO MONTANHA, 177;4º ANDAR;CENTRO;PORTO ALEGRE;RS;90010040;51;32153723;3408462000.00;2009-12-31;secretaria_dg@banrisul.com.br;www.banrisul.com.br
07.237.373/0001-20;BANCO DO NORDESTE DO BRASIL SA;BANCO DO NORDESTE;1990-11-29;;;EM FUNCIONAMENTO NORMAL;1990-11-29;Gestor de Carteira;;PRIVADO;SEDE;Av. Dr. Silas Munguba;5.700;Passaré;FORTALEZA;CE;60743902;85;32993000;2072725000.00;2009-12-31;fundos@bnb.gov.br;www.bnb.gov.br/fundos
22.531.842/0001-02;BANCO DO PROGRESSO S.A.;BCO PROGRESSO;1992-10-28;1999-01-14;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1999-01-14;;;PRIVADO;SEDE;RUA CURITIBA 2583;;LOURDES;BELO HORIZONTE;MG;30170122;031;2197204;-12998000.00;1996-12-31;;
00.795.423/0001-45;BANCO EMBLEMA SA;BANCO EMBLEMA SA;1996-08-05;2003-10-29;CANCELAMENTO A PEDIDO;CANCELADA;2003-10-29;;;PRIVADO;SEDE;AV. ÁLVARES CABRAL, 1.777;19 ANDAR;SANTO AGOSTINHO;BELO HORIZONTE;MG;30170001;31;32531000;16010994.91;1998-12-31;institucional.bcb@bancosemear.com.br;
32.067.787/0001-03;BANCO EMPRESARIAL S.A.;BCO.EMPRESARIAL;1994-03-24;1998-03-06;;CANCELADA;1998-03-06;;;PRIVADO;SEDE;AV RIO BRANCO, 110/22§ ANDAR;;;RIO DE JANEIRO;RJ;20040001;011;2341770;;;;
00.675.688/0001-00;BANCO EQUATORIAL SA;BANCO EQUATORIAL;1996-01-31;1998-09-25;CANCELAMENTO A PEDIDO;CANCELADA;1998-09-25;;;PRIVADO;SEDE;RUA COSTA BARROS 915/ SALA 801;;CENTRO;FORTALEZA;CE;60160280;0008;2165667;30741759.00;1998-12-31;;
04.064.077/0001-86;BANCO EST ACRE SA;BCO EST ACRE(C ESP);1994-04-22;1999-11-18;CANCELAMENTO A PEDIDO;CANCELADA;1999-11-18;;;PRIVADO;SEDE;RUA MAL DEODORO 219;;;RIO BRANCO;AC;69900210;0006;2245185;;;;
33.644.196/0001-06;BANCO FATOR S/A;FATOR - BANCO;1997-05-30;;;EM FUNCIONAMENTO NORMAL;1997-06-16;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;R DR RENATO P DE BARROS, 1017;12 ANDAR;ITAIM BIBI;SÃO PAULO;SP;4530001;11;30499100;32920325.15;1998-12-31;echalub@fator.com.br;
52.940.319/0001-09;BANCO FENICIA SA;BANCO FENICIA;1993-09-23;1999-11-09;CANCELAMENTO A PEDIDO;CANCELADA;1999-11-09;;;PRIVADO;SEDE;AV NACOES UNIDAS 11633/9 ANDAR;;;SÃO PAULO;SP;4578901;11;5052644;74939312.70;1997-12-31;;
58.616.418/0001-08;BANCO FIBRA SA;BANCO FIBRA SA;1990-01-16;2000-06-02;CANCELAMENTO A PEDIDO;CANCELADA;2000-06-02;;;PRIVADO;SEDE;AVENIDA DOUTORA RUTH CARDOSO, Nº 8.501;14º E 15º ANDAR (PARTE);PINHEIROS;SÃO PAULO;SP;5425070;011;38476700;217553782.04;1998-12-31;flavia.zahr@bancofibra.com.br;
62.237.425/0001-76;BANCO FIDIS S. A.;--;1990-07-04;2001-09-20;CANCELAMENTO A PEDIDO;CANCELADA;2001-09-20;;;PRIVADO;SEDE;AVENIDA DO CONTORNO;3455 - G 84;PAULO CAMIL0;BETIM;MG;32669900;31;21235953;0.00;1990-12-31;gunnar.murillo@stellantis.com;
62.237.425/0001-76;BANCO FIDIS S. A.;--;2008-03-13;2010-02-12;CANCELAMENTO A PEDIDO;CANCELADA;2010-02-12;;;PRIVADO;SEDE;AVENIDA DO CONTORNO;3455 - G 84;PAULO CAMIL0;BETIM;MG;32669900;31;21235953;;;gunnar.murillo@stellantis.com;
60.664.844/0001-69;BANCO FINASA DE INVESTIMENTO S.A.;BANCO FINASA DE INVESTIMENTO S.A.;1990-08-13;2006-06-06;CANCELAMENTO A PEDIDO;CANCELADA;2006-06-06;;;PRIVADO;SEDE;AV. PAULISTA , 1450;8º  ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;1310090;011;31452832;0.00;1990-12-31;luizalberto@finasa.com.br;
57.561.615/0001-04;BANCO FINASA S.A.;CONTINENTAL - BANCO;1990-07-24;1999-05-18;CANCELAMENTO A PEDIDO;CANCELADA;1999-05-18;;;PRIVADO;SEDE;AVENIDA ALPHAVILLE, 1500;PISO 2;ALPHAVILLE;BARUERI;SP;1418100;11;36844126;0.00;1990-12-31;4260.guilherme@bradesco.com.br;
11.758.741/0001-52;BANCO FINAXIS S.A.;BANCO FINAXIS S.A.;2011-07-18;;;EM FUNCIONAMENTO NORMAL;2011-07-18;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;RUA PASTEUR, 463;11º ANDAR;AGUA VERDE;CURITIBA;PR;80250104;41;30740909;12380850.62;2012-11-22;servicosfinanceiros@finaxis.com.br;http://finaxis.com.br/
33.098.518/0001-69;BANCO FININVEST SA;FININVEST;1993-05-10;2007-03-29;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-03-29;;;;SEDE;RUA DA PASSAGEM, N.º 170;7º ANDAR;BOTAFOGO;RIO DE JANEIRO;RJ;22290904;011;35844725;198424975.73;2001-12-31;relacionamnto.bacen@itau-unibanco.com.br;
33.794.033/0001-00;BANCO FONTE CINDAM SA;FONTE CINDAM;1993-06-23;2000-12-05;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2000-12-05;;;PRIVADO;SEDE;AV.ATAULFO DE PAIVA,226/SL.801;;LEBLON;RIO DE JANEIRO;RJ;22440030;021;5405882;86779188.00;1998-12-31;;
29.012.655/0001-61;BANCO GARAVELO S.A.;GARAVELLO;1988-12-16;1991-02-26;CANCELAMENTO A PEDIDO;CANCELADA;1991-02-26;;;PRIVADO;SEDE;R. LIBERO BADARÓ, 425/35;;;SÃO PAULO;SP;1010001;11;2327101;;;;
62.421.979/0001-29;BANCO GE CAPITAL S.A.;BCO GE CAPITAL;1994-02-01;2000-01-14;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2000-01-14;;;PRIVADO;SEDE;AV NOVE DE JULHO, 5229 - 8 AND;;ITAIM BIBI;SÃO PAULO;SP;1407200;11;30678580;14887064.71;1998-12-31;legal.compliance@ge.com;
45.246.410/0001-55;BANCO GENIAL S.A.;PLURAL BANCO;1989-08-16;2007-03-29;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-03-29;;;PRIVADO;SEDE;PRAIA DE BOTAFOGO, 228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;21;39233000;0.00;1990-12-31;complianceadm@genial.com.vc;
45.246.410/0001-55;BANCO GENIAL S.A.;PLURAL BANCO;2017-01-17;;;EM FUNCIONAMENTO NORMAL;2017-01-17;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;PRAIA DE BOTAFOGO, 228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;21;39233000;;;complianceadm@genial.com.vc;www.genial.com.vc
00.183.938/0001-94;BANCO GERDAU S.A;BANCO GERDAU S/A;2005-01-07;2010-04-27;CANCELAMENTO A PEDIDO;CANCELADA;2010-04-27;;;PRIVADO;SEDE;AV. FARRAPOS, 1811;;FLORESTA;PORTO ALEGRE;RS;90220005;51;33232783;;;bg-fundos@gerdau.com.br;
33.922.964/0001-46;BANCO GULFINVEST S/A;GULFINVEST - BANCO;1994-01-25;1997-10-29;;CANCELADA;1997-10-29;;;PRIVADO;SEDE;R. LAURO MULLER, 116 / CJ 1301;;;RIO DE JANEIRO;RJ;22290160;0000;15431204;72671367.82;1996-12-31;;
47.206.529/0001-20;BANCO HEXABANCO S.A.;HEXABANCO;1995-03-14;2000-03-01;CANCELAMENTO A PEDIDO;CANCELADA;2000-03-01;;;PRIVADO;SEDE;RUA LIBERO BADARO 374/ 6 ANDAR;CONJ. 602;CENTRO;SÃO PAULO;SP;1008000;11;2483000;11170014.72;1998-12-31;;
60.395.357/0001-48;BANCO HKB SA;BANCO HKB;1990-01-16;1995-03-14;;CANCELADA;1995-03-14;;;PRIVADO;SEDE;LIBERO BADARO 377-19 CJ1910/12;;;SÃO PAULO;SP;1009000;11;377491;;;;
33.852.567/0001-45;BANCO HSBC S.A.;BANCO LLOYDS TSB S.A.;1989-03-30;2002-06-19;CANCELAMENTO A PEDIDO;CANCELADA;2002-06-19;;;PRIVADO;SEDE;AV. JURUBATUBA, Nº 73;4°/10° ANDARES;VILA CORDEIRO;SÃO PAULO;SP;4583900;11;55046998;0.00;1990-12-31;rschuntzemberger@bradesco.com.br;
31.332.547/0001-18;BANCO ICATU SA;ICATU;1990-06-04;1992-03-31;;CANCELADA;1992-03-31;;;PRIVADO;SEDE;AV PRES WILSON 231 - 2 ANDAR;;;RIO DE JANEIRO;RJ;20030021;021;2101211;;;;
31.895.683/0001-16;BANCO INDUSTRIAL DO BRASIL;BANCO INDUSTRIAL DO BRASIL S/A;1993-10-05;1998-05-29;CANCELAMENTO A PEDIDO;CANCELADA;1998-05-29;;;PRIVADO;SEDE;AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1703;;ITAIM BIBI;SÃO PAULO;SP;4543901;11;30499700;65091381.93;1998-12-31;ri@bancoindustrial.com.br;
58.497.702/0001-02;BANCO INTERCAP S.A.;--;2006-12-29;2010-06-28;CANCELAMENTO A PEDIDO;CANCELADA;2010-06-28;;;PRIVADO;SEDE;RUA IGUATEMI, 151;6º ANDAR;Itaim Bibi;SÃO PAULO;SP;1451011;11;33152760;;;braiani@guideinvestimentos.com.br;
58.497.702/0001-02;BANCO INTERCAP S.A.;--;2012-07-03;2014-06-11;CANCELAMENTO A PEDIDO;CANCELADA;2014-06-11;;;PRIVADO;SEDE;RUA IGUATEMI, 151;6º ANDAR;Itaim Bibi;SÃO PAULO;SP;1451011;11;33152760;;;braiani@guideinvestimentos.com.br;
76.642.859/0001-66;BANCO INVESTCORP S/A;INVESTCORP - BANCO;1992-12-04;1995-12-12;;CANCELADA;1995-12-12;;;PRIVADO;SEDE;AV RIO BRANCO 114 13 ANDAR;;;RIO DE JANEIRO;RJ;20040001;21;30795;1453891531.00;1993-12-31;;
