TP_PARTIC;CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;CONTROLE_ACIONARIO;VL_PATRIM_LIQ;DT_PATRIM_LIQ;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL
COOPERATIVAS DE CRÉDITO;01.601.342/0001-20;CCLA DE MICRO REGIÕES DE GOIÂNIA E ADJACENTES LTDA;;2016-06-23;2020-03-11;INCORPORAÇÃO;CANCELADA;2020-03-11;3271;;;11497690.51;2018-12-31;;;;;;;;;;;;;
COOPERATIVAS DE CRÉDITO;06.910.457/0001-10;CCLA DE SANTA CRUZ DAS PALMEIRAS E REGIÃO - SICOOB CREDIÇUCAR;;2020-03-17;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4227;;;16522230.08;2021-12-31;SEDE;RUA CORONEL PENTEADO, 427;;CENTRO;SANTA CRUZ DAS PALMEIRAS;SP;;13650000;19;36727272;;;eduardo.monelli@credicucar.com.br
COOPERATIVAS DE CRÉDITO;10.262.276/0001-00;CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;;2015-05-26;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3182;;;71877196.06;2021-12-31;SEDE;AV JOAQUIM CONSTANTINO, 2161;4º ANDAR;VILA NOVA PRUDENTE;PRESIDENTE PRUDENTE;SP;;19053300;018;33441500;;;secretaria@sicoob.com.br
COOPERATIVAS DE CRÉDITO;01.608.685/0001-16;CCLA DO ESTADO DO ACRE LTDA;;2018-08-29;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3662;;;39975078.98;2021-12-31;SEDE;RUA QUINTINO BOCAIUVA , 1818;;BOSQUE;RIO BRANCO;AC;BRASIL;69919000;68;32241323;;;james.costa@sicoob.com.br
COOPERATIVAS DE CRÉDITO;13.517.050/0001-92;CCLA DO ESTADO DO AMAPÁ;;2018-08-21;2019-05-08;CANCELAMENTO A PEDIDO;CANCELADA;2019-05-08;3646;;;;;SEDE;RUA ELIEZER LEVY 1097;;CENTRO;MACAPÁ;AP;BRASIL;68900083;096;32255307;;;eliana.pimenta@sicoob-ap.com.br
COOPERATIVAS DE CRÉDITO;01.644.264/0001-40;CCLA DO MÉDIO PIRACICABA E CIRCUITO DO OURO LTDA - SICOOB CREDIMEPI;;2018-11-27;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3735;;;152993544.87;2021-12-31;SEDE;RUA PEDRO BICALHO, 70;;NOVO HORIZONTE;JOÃO MONLEVADE;MG;;35930072;31;38507000;;;credimepi@credimepi.coop.br
COOPERATIVAS DE CRÉDITO;71.154.876/0001-30;CCLA DO NOROESTE DE MINAS GERAIS LTDA - SICOOB CREDIPINHO;;2021-03-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4618;;;35323770.75;2021-12-31;SEDE;PRAÇA CORONEL HERMÓGENES, 261;;CENTRO;JOÃO PINHEIRO;MG;;38770000;38;33610202;;;jpinheiro313500@sicoobcrediminas.com.br
COOPERATIVAS DE CRÉDITO;02.250.781/0001-06;CCLA DO NORTE PAULISTA - SICOOB UNIMAIS NORTE PAULISTA;;2016-09-16;2019-05-13;INCORPORAÇÃO;CANCELADA;2019-05-13;3336;;;5063500.79;2017-12-31;SEDE;RUA QUINZE DE NOVEMBRO 466;;CENTRO;BEBEDOURO;SP;BRASIL;14700005;17;33439900;;;
COOPERATIVAS DE CRÉDITO;71.297.899/0001-02;CCLA DO OESTE MINEIRO LTDA. - SICOOB CREDICOPA;;2018-02-20;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3468;;;141336705.76;2021-12-31;SEDE;PRAÇA DESEMBARGADOR FREDERICO;Nº 37;CENTRO;PATOS DE MINAS;MG;;38700118;034;31712548;;;
COOPERATIVAS DE CRÉDITO;37.079.720/0001-02;CCLA LTDA - SICOOB CREDIJUSTRA;;2005-11-10;2017-07-10;CANCELAMENTO A PEDIDO;CANCELADA;2017-07-10;299;;;32914424.91;2016-12-31;SEDE;SCS Q 02 BL D OSCAR NIEMEYER;SALAS 402/405;ASA SUL;BRASÍLIA;DF;;70316900;61;32474600;;;credijustra@credijustra.com.br
COOPERATIVAS DE CRÉDITO;37.079.720/0001-02;CCLA LTDA - SICOOB CREDIJUSTRA;;2017-11-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3441;;;57929237.54;2021-12-31;SEDE;SCS Q 02 BL D OSCAR NIEMEYER;SALAS 402/405;ASA SUL;BRASÍLIA;DF;;70316900;61;32474600;;;credijustra@credijustra.com.br
COOPERATIVAS DE CRÉDITO;01.259.518/0001-07;CCLA SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA;;2008-01-23;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1910;;;45419606.47;2021-12-31;SEDE;AV 09, 783;;CENTRO;RIO CLARO;SP;;13500360;19;35227600;;;ruan.queiroz@sicoob.com.br
COOPERATIVAS DE CRÉDITO;81.016.131/0001-69;CCLAA DO VALE DO VINHO - SICOOB VALE DO VINHO;;2012-09-17;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;2542;;;141255626.51;2021-12-31;SEDE;AV. DOM PEDRO II;692;CENTRO;VIDEIRA;SC;;89560208;;;49;35335230;sandram3037_00@sicoobvaledovinho.coop.br
COOPERATIVAS DE CRÉDITO;04.766.558/0001-33;CCM DOS CIRURGIOES DENTISTAS E DEMAIS PROF DA AREA DA SAUDE DO OESTE PAULISTA - SICREDI OESTE SP;;2009-02-06;2011-09-09;INCORPORAÇÃO;CANCELADA;2011-09-09;2186;;;;;SEDE;AV WASHINGTON LUIZ, 2570;;JARDIM PAULISTA;PRESIDENTE PRUDENTE;SP;BRASIL;19023450;18;32217575;18;32217883;fernanda_valerio@sicredi.com.br
COOPERATIVAS DE CRÉDITO;06.948.735/0001-28;CCM DOS EMPRESARIOS DO ABCD PAULISTA - SICREDI ABCD SP;;2007-02-05;2013-04-18;INCORPORAÇÃO;CANCELADA;2013-04-18;1643;;;;;SEDE;AV. CAMINHO DO MAR;3270;RUDGE RAMOS;SÃO BERNARDO DO CAMPO;SP;BRASIL;96120000;11;43329051;11;43322781;sicrediabcd@terra.com.br
COOPERATIVAS DE CRÉDITO;10.400.359/0001-00;CCM DOS EMPRESARIOS DO CONE LESTE PAULISTA - SICREDI CONE LESTE SP;;2009-03-13;2013-07-05;INCORPORAÇÃO;CANCELADA;2013-07-05;2208;;;;;SEDE;PC MONSENHOR SILVA BARROS, 57;;CENTRO;TAUBATÉ;SP;BRASIL;12020070;12;34135385;12;34135391;lucimar_alves@sicredi.com.br
COOPERATIVAS DE CRÉDITO;04.204.721/0001-74;CCM DOS PROF DA AREA DA SAUDE E DOS PEQ EMPRESARIOS, MICROEMPRES E MICROEMPREEN DO CENTRO LESTE PAU;;2006-01-31;2013-10-03;INCORPORAÇÃO;CANCELADA;2013-10-03;558;;;;;SEDE;R CARLOS GOMES, 1394;;CENTRO;LIMEIRA;SP;BRASIL;13480013;19;34535993;19;34952215;
COOPERATIVAS DE CRÉDITO;01.709.266/0001-70;CCM DOS PROFISSIONAIS DA SAÚDE E LIVRE ADMISSÃO DE TEÓFILO OTONI LTDA - UNICRED TRÊS VALES;;2017-08-07;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3409;;;9577113.56;2021-12-31;SEDE;RUA PADRE VIRGULINO Nº 687;;CENTRO;TEÓFILO OTONI;MG;;39800025;;;;;
COOPERATIVAS DE CRÉDITO;25.626.490/0001-67;CCPI ALTO RIO GRANDE MG - SICREDI CREDIGRANDE MG;;2018-07-12;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3620;;;10211704.54;2021-12-31;SEDE;R DOUTOR MELO VIANA, 12;;CENTRO;LAVRAS;MG;;37200010;035;34098231;;;adm_cadastros@sicredi.com.br
COOPERATIVAS DE CRÉDITO;87.733.770/0001-21;CCPI ALTO URUGUAI- SICREDI ALTO URUGUAI RS/SC/MG;;2006-05-25;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1228;;;349726892.07;2021-12-31;SEDE;AVENIDA DO COMÉRCIO;618;CENTRO;RODEIO BONITO;RS;;98360000;55;37981333;;;
COOPERATIVAS DE CRÉDITO;04.853.988/0001-92;CCPI BANDEIRANTES - SICREDI BANDEIRANTES SP;;2013-07-24;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;2984;;;10486535.54;2021-12-31;SEDE;RUA AQUIDABAN 1090;;CENTRO;SÃO CARLOS;SP;;13560120;16;33733999;;;
COOPERATIVAS DE CRÉDITO;95.213.211/0001-19;CCPI CAMINHO DAS ÁGUAS RS - SICREDI CAMINHO DAS ÁGUAS RS;;2006-01-24;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1066;;;100534530.57;2021-12-31;SEDE;RUA CONCEIÇÃO, 364;SALA 03;CENTRO;ROLANTE;RS;;95690000;51;35471066;;;
COOPERATIVAS DE CRÉDITO;03.662.047/0001-09;CCPI CARREIRAS DO MP, TC E SECRET. FAZ. DO RIO GRANDE DO SUL - SICREDI MP RS;;2006-02-14;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;949;;;6710561.55;2021-12-31;SEDE;AV AURELIANO FIGUEIREDO PINTO;Nº 501, 5º ANDAR;CENTRO;PORTO ALEGRE;RS;;90050191;051;32545343;;;
COOPERATIVAS DE CRÉDITO;78.907.607/0001-47;CCPI CENTRO SUL - SICREDI CENTRO SUL PR/SC/RJ;;2006-02-06;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;450;;;162914751.19;2021-12-31;SEDE;PRAÇA CEL. JOSÉ DURSKI;26 - 3º ANDAR;CENTRO;PRUDENTÓPOLIS;PR;;84400000;42;34461748;;;
COOPERATIVAS DE CRÉDITO;04.484.490/0001-08;CCPI DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP;;2006-01-31;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;523;;;53658831.81;2021-12-31;SEDE;RUA SAUDADES  100;;CENTRO;BIRIGUI;SP;;16200025;18;36440089;18;36440089;
COOPERATIVAS DE CRÉDITO;57.647.653/0001-84;CCPI DA REGIÃO DAS FLORES, DAS ÁGUAS E DOS VENTOS SP - SICREDI FORÇA DOS VENTOS - SP;;2006-02-01;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;841;;;19538278.12;2021-12-31;SEDE;AV LAURO DE CARVALHO, 872;;CENTRO;HOLAMBRA;SP;;13910025;19;38029287;;;
COOPERATIVAS DE CRÉDITO;87.789.178/0001-41;CCPI DA REGIÃO DE PALMEIRA DAS MISSÕES - SICREDI GRANDE PALMEIRA RS;;2006-02-16;2020-07-06;INCORPORAÇÃO;CANCELADA;2020-07-06;1015;;;72301329.29;2019-12-31;SEDE;RUA GENERAL OSÓRIO, 300;2º PISO;CENTRO;PALMEIRA DAS MISSÕES;RS;BRASIL;98300000;55;37423851;;;
COOPERATIVAS DE CRÉDITO;73.113.243/0001-00;CCPI DE ARARAQUARA E REGIÃO - SICREDI CENTRO NORTE SP;;2006-02-01;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;736;;;41028353.85;2021-12-31;SEDE;AV JOSE BONIFACIO  884;;CENTRO;ARARAQUARA;SP;;14801150;16;33353505;16;33353505;
COOPERATIVAS DE CRÉDITO;79.063.574/0001-69;CCPI DO NORTE DO PARANÁ E SUL DE SÃO PAULO  - SICREDI NORTE SUL PR/SP;;2006-06-07;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1520;;;129267191.19;2021-12-31;SEDE;RUA 24 DE MAIO  106 A;;VILA J MASCARO;SANTO ANTÔNIO DA PLATINA;PR;;86430000;43;35345177;43;35345177;
COOPERATIVAS DE CRÉDITO;10.736.214/0001-84;CCPI DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL;;2009-05-08;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;2259;;;201382761.26;2021-12-31;SEDE;AV KALED COSAC, S/N;QUADRA 26 LOTE 19;CENTRO;CRISTALINA;GO;;73850000;67;36122840;;;
COOPERATIVAS DE CRÉDITO;06.078.926/0001-86;CCPI DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR;;2006-06-01;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1465;;;9534342.45;2021-12-31;SEDE;AVENIDA CÂNDIDO DE ABREU;Nº 526, SALA 211;CENTRO CÍVICO;CURITIBA;PR;;80530906;41;33523592;;;
COOPERATIVAS DE CRÉDITO;04.886.317/0001-28;CCPI DOS INTEGRANTES DA MAGISTRATURA E DO MP DO ESTADO DO PARANÁ - SICREDI CREDIJURIS;;2006-01-31;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;531;;;17650862.91;2021-12-31;SEDE;R MATEUS LEME, 2018;;CENTRO CÍVICO;CURITIBA;PR;;80530010;41;32521799;41;32523679;
COOPERATIVAS DE CRÉDITO;03.750.034/0001-91;CCPI DOS JUÍZES E CARREIRAS PÚBLICAS DO DIREITO DO ESTADO DO RS - SICREDI AJURIS RS;;2006-02-03;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;442;;;18992170.82;2021-12-31;SEDE;RUA CELESTE GOBBATO, 81;3°ANDAR;PRAIA DE BELAS;PORTO ALEGRE;RS;;90110160;51;32867226;;;sicrediajuris@terra.com.br
COOPERATIVAS DE CRÉDITO;07.070.495/0001-74;CCPI EMPREENDEDORES - SICREDI EMPREENDEDORES PR;;2006-02-07;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;655;;;11677685.55;2021-12-31;SEDE;RUA ANNE FRANK;Nº 3223;BOQUEIRÃO;CURITIBA;PR;;81650020;41;33328942;41;33328942;
COOPERATIVAS DE CRÉDITO;26.549.311/0001-06;CCPI INTEGRAÇÃO DO SUL DE MATO GROSSO, AMAPÁ E PARÁ;;2006-02-09;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;914;;;197907529.65;2021-12-31;SEDE;RUA FERNANDO CORREA DA COSTA  1100;;VILA AURORA I;RONDONÓPOLIS;MT;;78740000;66;34232040;66;34236518;
COOPERATIVAS DE CRÉDITO;89.049.738/0001-57;CCPI NOROESTE RS - SICREDI NOROESTE RS;;2006-03-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;981;;;342566912.46;2021-12-31;SEDE;AV. URUGUAI;366,2° ANDAR;CENTRO;TRÊS DE MAIO;RS;;98910000;55;35351296;;;
COOPERATIVAS DE CRÉDITO;37.442.605/0001-42;CCPI NORTE-MATOGROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA;;2006-01-18;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1074;;;486685434.16;2021-12-31;SEDE;AV TANCREDO NEVES  586;;CENTRO;COLÍDER;MT;;78500000;66;35411832;66;35411832;
COOPERATIVAS DE CRÉDITO;76.059.997/0001-17;CCPI PROGRESSO - SICREDI PROGRESSO PR/SP;;2006-05-30;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1287;;;179766373.25;2021-12-31;SEDE;AV TIRADENTES 986;;CENTRO;TOLEDO;PR;;85900230;45;33797757;45;33784241;
COOPERATIVAS DE CRÉDITO;90.729.369/0001-22;CCPI REGIÃO DAS CULTURAS-SICREDI DAS CULTURAS RS/MG;;2006-02-01;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;817;;;320099771.45;2021-12-31;SEDE;R. QUINZE DE NOVEMBRO, 217;2 ANDAR;CENTRO;IJUÍ;RS;;98700000;55;33341148;;;
COOPERATIVAS DE CRÉDITO;02.923.389/0001-72;CCPI SICREDI ARACAJU - SICREDI ARACAJU;;2008-02-26;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1988;;;79827058.30;2021-12-31;SEDE;R JOSE CARVALHO PINTO 280;LOJA 01 - AREA 02;JARDINS;ARACAJU;SE;;49026150;79;21067191;79;32147483;coop2102@sicredi.com.br
COOPERATIVAS DE CRÉDITO;97.489.280/0001-85;CCPI SICREDI INTEGRAÇÃO BAHIA - SICREDI INTEGRAÇÃO BAHIA;;2007-06-06;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1686;;;42439044.73;2021-12-31;SEDE;AV. COMENDADOR FIRMINO ALVES;128;CENTRO;ITABUNA;BA;;45600185;73;21022170;;;unicred.2103@unicredrs-ba.com.br
COOPERATIVAS DE CRÉDITO;26.555.235/0001-33;CCPI SORRISO - SICREDI CELEIRO MT/RR;;2006-06-08;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1546;;;569552071.65;2021-12-31;SEDE;AV. NATALINO JOÃO BRESCANSIN, 124;;CENTRO SUL;SORRISO;MT;;78896072;66;35455200;66;35455200;
COOPERATIVAS DE CRÉDITO;70.431.630/0001-04;CCPI UNIVALES - SICREDI UNIVALES MT/RO;;2006-02-08;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;353;;;392923973.26;2021-12-31;SEDE;AVENIDA MATO GROSSO, 690;;MODULO 01;JUÍNA;MT;;78320000;66;35667916;;;
COOPERATIVAS DE CRÉDITO;81.706.616/0001-84;CCPI VALOR SUSTENTÁVEL-SICREDI VALOR SUSTENTÁVEL  PR/SP;;2006-01-18;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;1147;;;80600569.68;2021-12-31;SEDE;PRACA DO CAFE;66;CENTRO;JANDAIA DO SUL;PR;;86900000;43;34324800;;;
COOPERATIVAS DE CRÉDITO;10.772.401/0001-13;CCPI VERDE PARÁ - SICREDI VERDE PARÁ;;2009-09-08;2019-11-25;INCORPORAÇÃO;CANCELADA;2019-11-25;2291;;;24566654.25;2018-12-31;SEDE;AV. PRESIDENTE VARGAS;Nº 160;ANGELIM;PARAGOMINAS;PA;BRASIL;68625130;91;37290511;;;
COOPERATIVAS DE CRÉDITO;09.041.464/0001-10;CCR E DOS SERVIDORES PUBLICOS ESTADUAIS DO TOCANTINS - SICREDI ARAGUAIA TOCANTINS TO;;2009-03-13;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;2194;;;;;SEDE;Q 104 SUL AVENIDA NS 02;LOTE 02, CONJ. 02;PLANO DIRETOR SUL;PALMAS;TO;BRASIL;77020030;63;32253840;63;32253840;daviv_monteiro@sicredi.com.br
COOPERATIVAS DE CRÉDITO;04.306.391/0001-28;CEC PEQ. EMPRES.MICROEMPRES.MICROEMPREEND.BOTUCATU E REG.;;2006-02-23;2008-11-06;INCORPORAÇÃO;CANCELADA;2008-11-06;1023;;;;;SEDE;AV. DOM LUCIO, 340;;CENTRO;BOTUCATU;SP;BRASIL;18602092;14;38146160;;;info_sicredi@btu.flash.tv.br
COOPERATIVAS DE CRÉDITO;05.856.736/0001-80;CECLA LTDA. SICOOB EMPRESARIAL;;2020-03-17;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4235;;;46248064.49;2021-12-31;SEDE;SIA TRECHO 03 LOTE 225;ED. FIBRA;SIA;BRASÍLIA;DF;;71200030;61;32331212;;;sicoobempresarial@sicoobempresarial.coop.br
COOPERATIVAS DE CRÉDITO;01.464.605/0001-04;CECM ALIANÇA MÉDICOS E DEMAIS PROF. ÁREA SAÚDE LENÇÓIS PAULISTA;;2006-02-07;2012-11-06;LIQUIDAÇÃO ORDINÁRIA;CANCELADA;2012-11-06;647;;;;;SEDE;RUA PEDRO NATÁLIO LORENZETTI;Nº 698;CENTRO;LENÇÓIS PAULISTA;SP;BRASIL;18682010;14;32693102;14;32693100;alcredlpta@lpnet.com.br
COOPERATIVAS DE CRÉDITO;94.243.839/0001-02;CECM DO VALE DAS ANTAS - UNICRED VALE DAS ANTAS;;2019-09-09;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3859;;;22087172.89;2021-12-31;SEDE;RUA PADRE ANETO BOGNI 512;;CENTRO;CASCA;RS;;99260000;54;33471503;;;administrativo.0019@unicred.com.br
COOPERATIVAS DE CRÉDITO;92.935.741/0001-82;CECM DOS EMPREGADOS DO BANRISUL;;2010-04-12;2015-06-08;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-08;2321;;;;;SEDE;PRAÇA DA ALFÂNDEGA, Nº 12;301;CENTRO;PORTO ALEGRE;RS;BRASIL;90010150;51;32161500;51;32161506;banricoop@banricoop.coop.br
COOPERATIVAS DE CRÉDITO;33.924.028/0001-74;CECM DOS EMPREGADOS DO GRUPO CVRD E ENTIDADES VINCULADAS LTDA - SICOOB COOPVALE;;2020-07-07;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4375;;;16141236.55;2021-12-31;SEDE;RUA SANTA LUZIA 651 35º ANDAR;;CENTRO;RIO DE JANEIRO;RJ;;20030041;;;;;
COOPERATIVAS DE CRÉDITO;07.858.553/0001-29;CECM DOS EMPRES. DO COM. DA REG. METR., Z. DA MATA E AGR. DO EST. DE PERNAMBUCO LTDA. - COOPLOJAS PE;;2007-06-27;2015-05-15;INCORPORAÇÃO;CANCELADA;2015-05-15;1740;;;;;SEDE;RUA DO RIACHUELO, 105;SALA 101;BOA VISTA;RECIFE;PE;BRASIL;50050400;81;32229249;81;32232138;cooplojas@cooplojaspe.com.br
COOPERATIVAS DE CRÉDITO;02.320.791/0001-62;CECM DOS INTEGRANTES DAS CARREIRAS JURIDICAS DO ESTADO DE MATO GROSSO DO SUL;;2006-08-28;2013-04-10;INCORPORAÇÃO;CANCELADA;2013-04-10;1600;;;;;SEDE;RUA DA PAZ, 51;LOJA 01;VILA TUPACERETAN;CAMPO GRANDE;MS;BRASIL;79002190;67;33247564;67;33247564;mp@sicredims.com.br
COOPERATIVAS DE CRÉDITO;02.179.673/0001-86;CECM DOS MÉDICOS E DEMAIS PROF NIVEL SUPERIOR DA ÁREA DE SAUDE DE OURINHOS - OURICRED;;2020-12-31;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4537;;;18917808.79;2021-12-31;SEDE;RUA EUCLIDES DA CUNHA, 743;;VILA MORAES;OURINHOS;SP;;19900043;14;33264999;;;controlesinternos@ouricred.com.br
COOPERATIVAS DE CRÉDITO;69.181.709/0001-37;CECM DOS MÉDICOS E PROFISSIONAIS DA ÁREA DA SAÚDE DE SP - SICOOB GRANDE SÃO PAULO;;2012-12-20;2015-07-01;CANCELAMENTO A PEDIDO;CANCELADA;2015-07-01;2771;;;;;SEDE;RUA HUMBERTO I, 220;3° AND - CONJ 32;VILA MARIANA;SÃO PAULO;SP;BRASIL;4018030;11;55735556;11;55735556;sicoobgsp@sicoobgsp.com.br
COOPERATIVAS DE CRÉDITO;04.167.614/0001-13;CECM DOS PROFISSIONAIS DA ÁREA DE SAÚDE DE JUNDIAÍ E REGIÃO - SICREDI JUNDIAÍ SUDESTE;;2006-05-31;2014-04-02;INCORPORAÇÃO;CANCELADA;2014-04-02;1341;;;;;SEDE;AV. FERNANDO ARENS;1175;VILA PROGRESSO;JUNDIAÍ;SP;BRASIL;13202571;11;45224222;11;45224222;
COOPERATIVAS DE CRÉDITO;54.190.525/0001-66;CECM DOS SERV. MUNICIPAIS DA REGIÃO METROPOLITANA DO VALE DO PARAIBA E LITORAL NORTE- SICOOB CRESSEM;;2021-07-28;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4707;;;152763143.39;2021-12-31;SEDE;RUA HENRIQUE DIAS, 1000;;VILA PROGRESSO;SÃO JOSÉ DOS CAMPOS;SP;;12215260;12;39049556;;;contabilidade@sicoobcressem.com.br
COOPERATIVAS DE CRÉDITO;01.635.462/0001-48;CECM MEÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGI+O DA PRODUÃ+O LTDA. - UNICRED PREMIUM;;2018-04-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3565;;;70171297.06;2021-12-31;SEDE;AV. BENJAMIN CONSTANT Nº 1058;5º ANDAR;CENTRO;LAJEADO;RS;;95900104;051;37144039;;;vtrpp.0116@unicred.com.br
COOPERATIVAS DE CRÉDITO;08.071.414/0001-13;CECM SICOOB COOPERAC;;2021-03-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;4600;;;16540779.72;2021-12-31;SEDE;AV NOVE DE JULHO, 791;;CENTRO;RIBEIRÃO PRETO;SP;;14015170;16;353169900;;;mauricio@cooperac.com.br
COOPERATIVAS DE CRÉDITO;01.526.924/0001-99;CECM UNICRED HORIZONTES LTDA. - UNICRED HORIZONTES;;2007-11-21;2015-10-20;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-20;1830;;;;;SEDE;AV 21 DE ABRIL 11;SALA 03;CENTRO;IJUÍ;RS;;98700000;55;33327885;;;ijui.0094@unicred.com.br
COOPERATIVAS DE CRÉDITO;01.526.924/0001-99;CECM UNICRED HORIZONTES LTDA. - UNICRED HORIZONTES;;2019-05-16;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3794;;;39533661.82;2021-12-31;SEDE;AV 21 DE ABRIL 11;SALA 03;CENTRO;IJUÍ;RS;;98700000;55;33327885;;;ijui.0094@unicred.com.br
COOPERATIVAS DE CRÉDITO;71.884.498/0001-40;CECM. DOS MÉDICOS E DEMAIS PROFISS. DA ÁREA DE SAÚDE DO EST. DE SP - UNICRED DO ESTADO DE SP;;2017-05-12;2022-05-02;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-05-02;3395;;;162551915.58;2021-12-31;SEDE;AV. BARÃO DE ITAPURA Nº 950;7º ANDAR;GUANABARA;CAMPINAS;SP;;13020431;19;37312724;;;jose.scatena@unicred.com.br
